GLOBALEVENTID	SQLDATE	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_FullName	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_FullName	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_FullName	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	DATEADDED	SOURCEURL
410412414	20150211	201502	2015	2015.1123	BEL	BELGIUM	BEL								LEG	PARLIAMENT						LEG			1	111	111	11	3	-2.0	2	1	2	-3.16139767054908	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20150218230000	http://www.the-american-interest.com/2015/02/18/recurring-failed-populist-syndrome/
410412415	20150211	201502	2015	2015.1123	BUS	COMPANY						BUS			USA	UNITED STATES	USA								0	040	040	04	1	1.0	2	1	2	0.858369098712447	3	Waltham, Massachusetts, United States	US	USMA	MA017	42.3765	-71.2356	612400	3	Waltham, Massachusetts, United States	US	USMA	MA017	42.3765	-71.2356	612400	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20150218230000	http://www.betaboston.com/news/2014/07/09/simplivity-is-bostons-fastest-growing-tech-firm/
410412416	20150211	201502	2015	2015.1123	BUS	COMPANY						BUS			USA	AUSTIN	USA								0	040	040	04	1	1.0	1	1	1	0.858369098712447	3	Waltham, Massachusetts, United States	US	USMA	MA017	42.3765	-71.2356	612400	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20150218230000	http://www.betaboston.com/news/2014/07/09/simplivity-is-bostons-fastest-growing-tech-firm/
410412417	20150211	201502	2015	2015.1123	EDU	SCHOOL						EDU													1	1043	104	10	3	-5.0	10	1	10	0	3	Deland High School, Florida, United States	US	USFL	FL127	29.0411	-81.284	299399	0								3	Deland High School, Florida, United States	US	USFL		29.0411	-81.284	299399	20150218230000	http://www.wftv.com/news/news/local/volusia-county-teachers-meet-district-demand-bette/nkDjK/
410412418	20150211	201502	2015	2015.1123	JUD	JUDICIARY						JUD													1	042	042	04	1	1.9	1	1	1	0.62695924764891	3	Bloomington, Indiana, United States	US	USIN	IN105	39.1653	-86.5264	431207	0								3	Bloomington, Indiana, United States	US	USIN	IN105	39.1653	-86.5264	431207	20150218230000	http://www.lgbtqnation.com/2015/02/indiana-senate-panel-advances-religious-freedom-bill-to-allow-anti-gay-discrimination/
410412419	20150211	201502	2015	2015.1123	JUD	JUDICIARY						JUD													1	042	042	04	1	1.9	4	1	4	0.62695924764891	3	South Bend, Indiana, United States	US	USIN	IN141	41.6834	-86.25	452796	0								2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20150218230000	http://www.lgbtqnation.com/2015/02/indiana-senate-panel-advances-religious-freedom-bill-to-allow-anti-gay-discrimination/
410412420	20150211	201502	2015	2015.1123	TUR	TURKEY	TUR																		0	020	020	02	1	3.0	10	1	10	-5.36659108087679	4	Mersin, Iç, Turkey	TU	TU32	27868	36.7328	34.6442	-765055	0								4	Mersin, Iç, Turkey	TU	TU32	27868	36.7328	34.6442	-765055	20150218230000	http://www.huffingtonpost.com/jeanne-zaino/how-a-young-womans-murder_b_6694104.html
410412421	20150211	201502	2015	2015.1123	TUR	TURKEY	TUR																		0	042	042	04	1	1.9	1	1	1	1.15761353517364	4	Gezi, Kayseri, Turkey	TU	TU38	28006	38.7918	35.6592	-749675	0								4	Gezi, Kayseri, Turkey	TU	TU38	28006	38.7918	35.6592	-749675	20150218230000	http://www.al-monitor.com/pulse/originals/2015/02/turkey-opposition-united-states-electoral-campaign.html
410412422	20150211	201502	2015	2015.1123	TUR	TURKEY	TUR																		0	140	140	14	3	-6.5	10	1	10	-5.36659108087679	4	Mersin, Iç, Turkey	TU	TU32	27868	36.7328	34.6442	-765055	0								4	Mersin, Iç, Turkey	TU	TU32	27868	36.7328	34.6442	-765055	20150218230000	http://www.huffingtonpost.com/jeanne-zaino/how-a-young-womans-murder_b_6694104.html
410412423	20150211	201502	2015	2015.1123	USA	UNITED STATES	USA								BUS	COMPANY						BUS			0	040	040	04	1	1.0	2	1	2	0.858369098712447	3	Waltham, Massachusetts, United States	US	USMA	MA017	42.3765	-71.2356	612400	3	Waltham, Massachusetts, United States	US	USMA	MA017	42.3765	-71.2356	612400	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20150218230000	http://www.betaboston.com/news/2014/07/09/simplivity-is-bostons-fastest-growing-tech-firm/
410412424	20150211	201502	2015	2015.1123	USA	AUSTIN	USA								BUS	COMPANY						BUS			0	040	040	04	1	1.0	1	1	1	0.858369098712447	2	Texas, United States	US	USTX		31.106	-97.6475	TX	3	Waltham, Massachusetts, United States	US	USMA	MA017	42.3765	-71.2356	612400	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20150218230000	http://www.betaboston.com/news/2014/07/09/simplivity-is-bostons-fastest-growing-tech-firm/
410412425	20150211	201502	2015	2015.1123	ZMB	LUSAKA	ZMB								ZMBJUD	ZAMBIA	ZMB					JUD			0	114	114	11	3	-2.0	2	1	2	-4.57604306864064	4	Lusaka, Lusaka, Zambia	ZA	ZA09	65208	-15.4167	28.2833	-2291861	4	Lusaka, Lusaka, Zambia	ZA	ZA09	65208	-15.4167	28.2833	-2291861	4	Lusaka, Lusaka, Zambia	ZA	ZA09	65208	-15.4167	28.2833	-2291861	20150218230000	http://www.postzambia.com/news.php?id=5994
410412426	20150211	201502	2015	2015.1123	ZMBJUD	LUSAKA	ZMB					JUD													0	114	114	11	3	-2.0	6	1	6	-4.57604306864064	4	Lusaka, Lusaka, Zambia	ZA	ZA09	65208	-15.4167	28.2833	-2291861	0								4	Lusaka, Lusaka, Zambia	ZA	ZA09	65208	-15.4167	28.2833	-2291861	20150218230000	http://www.postzambia.com/news.php?id=5994
410412427	20150217	201502	2015	2015.1288	AFR	AFRICA	AFR								GOV	MINIST						GOV			1	013	013	01	1	0.4	2	1	2	-1.72413793103449	1	South Africa	SF	SF		-29	24	SF	1	South Africa	SF	SF		-29	24	SF	1	South Africa	SF	SF		-29	24	SF	20150218230000	http://www.timeslive.co.za/thetimes/2015/02/19/zuma-has-second-chance-to-inspire-confidence
410412428	20150217	201502	2015	2015.1288	COPGOV	PRISON						COP	GOV		HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	1	1	1	-7.88381742738589	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20150218230000	http://www.herald.ie/news/prisoner-at-large-derek-brockwell-tasered-caught-by-police-in-the-north-31003890.html
410412429	20150217	201502	2015	2015.1288	COPGOV	PRISON						COP	GOV		HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	7	1	7	-7.88381742738589	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20150218230000	http://www.herald.ie/news/prisoner-at-large-derek-brockwell-tasered-caught-by-police-in-the-north-31003890.html
410412430	20150217	201502	2015	2015.1288	CVL	VILLAGE						CVL			NER	NIGER	NER								1	195	195	19	4	-10.0	1	1	1	-4.37710437710438	1	Benin	BN	BN		9.5	2.25	BN	1	Benin	BN	BN		9.5	2.25	BN	1	Cameroon	CM	CM		6	12	CM	20150218230000	http://www.huffingtonpost.com/2015/02/18/dozens-killed-in-bombing-_n_6708574.html
410412431	20150217	201502	2015	2015.1288	GBR	UNITED KINGDOM	GBR								IRL	IRELAND	IRL								1	192	192	19	4	-9.5	1	1	1	-7.34693877551021	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20150218230000	http://www.mirror.co.uk/news/world-news/derek-brockwell-prisoner-who-escaped-5187613
410412432	20150217	201502	2015	2015.1288	GBR	UNITED KINGDOM	GBR								IRLCOP	IRELAND	IRL					COP			1	192	192	19	4	-9.5	1	1	1	-7.34693877551021	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Portlaoise, Laois, Ireland	EI	EI15	18302	53.0322	-7.3	-1505109	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20150218230000	http://www.mirror.co.uk/news/world-news/derek-brockwell-prisoner-who-escaped-5187613
410412433	20150217	201502	2015	2015.1288	GBR	UNITED KINGDOM	GBR								IRLCOP	IRELAND	IRL					COP			1	192	192	19	4	-9.5	1	1	1	-7.34693877551021	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20150218230000	http://www.mirror.co.uk/news/world-news/derek-brockwell-prisoner-who-escaped-5187613
410412434	20150217	201502	2015	2015.1288	HLH	HOSPITAL						HLH			COPGOV	PRISON						COP	GOV		1	043	043	04	1	2.8	8	1	8	-7.88381742738589	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20150218230000	http://www.herald.ie/news/prisoner-at-large-derek-brockwell-tasered-caught-by-police-in-the-north-31003890.html
410412435	20150217	201502	2015	2015.1288	KEN	KENYA	KEN								RWAGOV	PAUL KAGAME	RWA					GOV			1	043	043	04	1	2.8	10	1	10	1.44927536231884	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20150218230000	http://www.newtimes.co.rw/section/article/2015-02-19/186142/
410412436	20150217	201502	2015	2015.1288	NGACVL	NIGERIA	NGA					CVL			NER	NIGER	NER								1	195	195	19	4	-10.0	1	1	1	-4.37710437710438	1	Benin	BN	BN		9.5	2.25	BN	1	Benin	BN	BN		9.5	2.25	BN	1	Chad	CD	CD		15	19	CD	20150218230000	http://www.huffingtonpost.com/2015/02/18/dozens-killed-in-bombing-_n_6708574.html
410412437	20150217	201502	2015	2015.1288	NGACVL	NIGERIA	NGA					CVL			NER	NIGER	NER								1	195	195	19	4	-10.0	1	1	1	-4.37710437710438	1	Benin	BN	BN		9.5	2.25	BN	1	Benin	BN	BN		9.5	2.25	BN	1	Cameroon	CM	CM		6	12	CM	20150218230000	http://www.huffingtonpost.com/2015/02/18/dozens-killed-in-bombing-_n_6708574.html
410412438	20150217	201502	2015	2015.1288	PSE	WEST BANK	PSE																		1	051	051	05	1	3.4	4	1	4	1.16959064327485	4	Bethlehem, West Bank (general), West Bank	WE	WE00	18315	31.7049	35.2038	-793854	0								4	Bethlehem, West Bank (general), West Bank	WE	WE00	18315	31.7049	35.2038	-793854	20150218230000	http://www.nzherald.co.nz/bay-of-plenty-times/news/article.cfm?c_id=1503343&objectid=11404405
410412439	20150217	201502	2015	2015.1288	RWAGOV	PAUL KAGAME	RWA					GOV			KEN	KENYA	KEN								1	042	042	04	1	1.9	10	1	10	1.44927536231884	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20150218230000	http://www.newtimes.co.rw/section/article/2015-02-19/186142/
410412440	20150217	201502	2015	2015.1288	USAJUD	ORLANDO	USA					JUD			JUD	FEDERAL COURT						JUD			0	110	110	11	3	-2.0	10	1	10	3.7125748502994	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20150218230000	http://www.dallasvoice.com/texas-marriage-update-equality-texas-calls-debeauvoir-start-issuing-marriage-licenses-10190199.html
410412441	20150217	201502	2015	2015.1288	USAJUD	ORLANDO	USA					JUD			USA	TEXAS	USA								0	172	172	17	4	-5.0	10	1	10	3.7125748502994	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20150218230000	http://www.dallasvoice.com/texas-marriage-update-equality-texas-calls-debeauvoir-start-issuing-marriage-licenses-10190199.html
410412442	20150218	201502	2015	2015.1315											AFG	AFGHANISTAN	AFG								0	043	043	04	1	2.8	2	1	2	2.12053571428571	0								1	Afghanistan	AF	AF		33	65	AF	3	Somerset County, New Jersey, United States	US	USNJ		40.5668	-74.5496	882234	20150218230000	http://centraljersey.com/articles/2015/02/18/the_manville_news/featured/doc54e5051d247d0896908107.txt
410412443	20150218	201502	2015	2015.1315											AFRMIL	AFRICA	AFR					MIL			0	043	043	04	1	2.8	2	1	2	-4.4776119402985	0								4	Waterkloof, Free State, South Africa	SF	SF03	77359	-30.3098	25.2971	-1299321	4	Waterkloof, Free State, South Africa	SF	SF03	77359	-30.3098	25.2971	-1299321	20150218230000	http://www.dailymaverick.co.za/article/2015-02-19-sona2015-jamming-state-security-agency-steps-forward-blames-low-ranking-operator/
410412444	20150218	201502	2015	2015.1315											AUSLAB	AUSTRALIA	AUS					LAB			0	060	060	06	2	6.0	1	1	1	1.22850122850123	0								1	Australia	AS	AS		-27	133	AS	1	Australia	AS	AS		-27	133	AS	20150218230000	http://www.moneymanagement.com.au/news/investment/exchange-traded-funds/etf-market-to-power-on-to-100-million-level
